t,Ip,Ii,ft
274.0,49.578205,119.673676,-9.392389
275.0,49.512623,119.624466,-9.37763
276.0,49.44673,119.586754,-9.363361
277.0,49.38225,119.52747,-9.349611
278.0,49.32135,119.49875,-9.336384
279.0,49.260296,119.42237,-9.323673
280.0,49.201317,119.37807,-9.311454
281.0,49.142456,119.32123,-9.299702
282.0,49.084297,119.24658,-9.288394
283.0,49.03129,119.197914,-9.277506
284.0,48.976242,119.1378,-9.267012
285.0,48.92475,119.06974,-9.25688
286.0,48.87465,119.00293,-9.247084
287.0,48.8284,118.91301,-9.237622
288.0,48.783127,118.84225,-9.22855
289.0,48.73781,118.74609,-9.22002
290.0,48.6964,118.66072,-9.212341
291.0,48.656273,118.57057,-9.205866
292.0,48.61698,118.46623,-9.200765
293.0,48.57801,118.39526,-9.196362
294.0,48.533688,118.30441,-9.190152
295.0,48.499527,118.24744,-9.17692
296.0,48.481976,118.20096,-9.149565
297.0,48.49532,118.188866,-9.104446
298.0,48.548424,118.198875,-9.0527935
299.0,48.6885,118.18681,-9.03376
300.0,48.376144,118.373825,-9.117139
301.0,49.344242,118.29161,-9.383623
302.0,51.242252,118.42977,-9.888657
303.0,54.449112,118.46016,-10.645737
304.0,58.876747,118.602844,-11.651745
305.0,64.55861,118.91202,-12.921562
306.0,71.47185,119.51348,-14.489445
307.0,79.601166,120.49421,-16.372486
308.0,88.91373,122.04683,-18.537739
309.0,99.45835,124.218,-20.939117
310.0,111.13783,127.18201,-23.612127
311.0,123.8876,131.04138,-26.597885
312.0,138.16284,135.915,-29.776697
313.0,153.07944,142.02464,-33.122078
314.0,169.68109,148.82162,-36.82106
315.0,186.36429,156.88853,-40.867622
316.0,203.76086,165.73605,-44.93284
317.0,221.27888,175.53151,-48.810402
318.0,239.32071,186.06903,-52.57361
319.0,257.63068,197.40652,-56.392776
320.0,275.55084,209.52654,-60.31292
321.0,292.7567,222.47919,-64.18612
322.0,308.77792,236.09172,-67.8176
323.0,323.5143,250.48195,-71.0761
324.0,336.6647,265.3607,-73.8907
325.0,348.00824,280.61877,-76.22308
326.0,357.252,296.05988,-78.05129
327.0,364.25784,311.6466,-79.356575
328.0,368.67148,327.0634,-80.10868
329.0,370.36642,342.21255,-80.25846
330.0,369.28625,356.9136,-79.756905
331.0,365.50928,371.10495,-78.60188
332.0,359.19934,384.53247,-76.85856
333.0,350.62393,397.14447,-74.622086
334.0,340.066,408.79236,-71.97391
335.0,327.91122,419.3631,-68.973785
336.0,314.54416,428.9101,-65.676094
337.0,300.35434,437.29102,-62.161285
