t,Ip,Ii,gt
261.0,50.544323,120.598465,-0.10411942
262.0,50.46665,120.495285,-0.11418301
263.0,50.385902,120.38047,-0.11873025
264.0,50.310417,120.27048,-0.11840826
265.0,50.2336,120.14566,-0.11403006
266.0,50.154716,120.01086,-0.10647756
267.0,50.08094,119.92975,-0.09662598
268.0,50.008636,119.84677,-0.08530891
269.0,49.931458,119.73894,-0.073268175
270.0,49.85978,119.694374,-0.061160207
271.0,49.786484,119.632515,-0.049538136
272.0,49.71701,119.59866,-0.03886974
273.0,49.64427,119.55036,-0.029537916
274.0,49.57684,119.51399,-0.02185905
275.0,49.506126,119.47751,-0.016074896
276.0,49.444054,119.47836,-0.012379527
277.0,49.381325,119.47771,-0.01089859
278.0,49.31753,119.45471,-0.011707187
279.0,49.25996,119.44173,-0.014810622
280.0,49.199318,119.44837,-0.020151794
281.0,49.139,119.42056,-0.02758652
282.0,49.08267,119.38812,-0.036901653
283.0,49.02587,119.34946,-0.047782004
284.0,48.97249,119.269394,-0.059850156
285.0,48.920143,119.18971,-0.072677255
286.0,48.874252,119.11547,-0.085860014
287.0,48.825775,119.04119,-0.099087596
288.0,48.77655,118.91174,-0.112271786
289.0,48.732826,118.78653,-0.12563956
290.0,48.69342,118.668655,-0.1397798
291.0,48.650883,118.51413,-0.15550578
292.0,48.61429,118.35419,-0.17353368
293.0,48.576225,118.17192,-0.19394267
294.0,48.546417,117.98201,-0.21562123
295.0,48.509922,117.75476,-0.23595679
296.0,48.478127,117.504166,-0.25082594
297.0,48.45311,117.26125,-0.25475615
298.0,48.4197,117.01099,-0.24115354
299.0,48.40072,116.767624,-0.20271057
300.0,48.377857,116.61051,-0.13063544
301.0,49.05394,116.51196,-0.011156738
302.0,51.086433,116.59368,0.1756221
303.0,54.366272,116.86599,0.4475907
304.0,58.88581,117.50059,0.8077748
305.0,64.59442,118.51674,1.2376804
306.0,71.500946,119.99644,1.7041565
307.0,79.621445,121.95207,2.1798656
308.0,88.957794,124.37363,2.6564016
309.0,99.51105,127.280685,3.1451087
310.0,111.2737,130.70697,3.6962974
311.0,124.21608,134.69601,4.3782744
312.0,138.29553,139.50458,5.1883664
313.0,153.44324,145.12311,6.062575
314.0,169.54839,151.60934,6.960191
315.0,186.46841,159.04495,7.8738794
316.0,203.98929,167.37512,8.801118
317.0,221.97894,176.70113,9.734346
318.0,240.09647,186.8945,10.662929
319.0,258.16202,198.03802,11.572076
320.0,275.836,210.02748,12.440985
321.0,292.8523,222.888,13.244938
322.0,308.89832,236.50375,13.959549
323.0,323.6937,250.77264,14.5630245
324.0,336.9447,265.6104,15.035498
325.0,348.34344,280.81186,15.358365
326.0,357.64392,296.249,15.516726
327.0,364.5797,311.76462,15.504593
328.0,368.99402,327.17218,15.327597
329.0,370.62543,342.31552,14.99766
330.0,369.62543,357.0658,14.522505
331.0,365.81857,371.26483,13.900826
332.0,359.4903,384.74887,13.129335
333.0,350.915,397.4909,12.215055
334.0,340.37607,409.1692,11.180913
335.0,328.19882,419.7881,10.060662
336.0,314.81757,429.23462,8.889513
337.0,300.63925,437.54385,7.6977744
338.0,285.86548,444.6577,6.509101
339.0,270.92084,450.57703,5.341832
340.0,256.00458,455.40005,4.2109423
341.0,241.31593,459.03882,3.1291595
342.0,227.14838,461.63702,2.1072474
343.0,213.4743,463.23978,1.1535523
344.0,200.4574,463.91733,0.2734915
345.0,188.17046,463.776,-0.53078413
346.0,176.6765,462.8972,-1.2604103
347.0,165.94002,461.282,-1.9189296
348.0,155.9808,459.09296,-2.5110795
349.0,146.73969,456.3,-3.0413487
350.0,138.23483,453.03323,-3.5134306
351.0,130.41763,449.23163,-3.9302301
352.0,123.23078,445.12003,-4.2944946
353.0,116.67641,440.71335,-4.6094294
354.0,110.66261,435.97592,-4.878961
355.0,105.149155,430.9474,-5.107569
356.0,100.09029,425.71954,-5.299792
357.0,95.48345,420.39032,-5.4597845
358.0,91.26185,414.85553,-5.591065
359.0,87.38286,409.13977,-5.6965194
360.0,83.83424,403.42862,-5.7785587
361.0,80.56002,397.60675,-5.8393145
362.0,77.56787,391.7624,-5.880769
363.0,74.79671,385.84912,-5.9048157
364.0,72.25017,379.95236,-5.9132695
365.0,69.88797,373.98178,-5.9077964
366.0,67.70349,368.04965,-5.8899026
367.0,65.68324,362.25546,-5.8609133
368.0,63.806213,356.3968,-5.821974
369.0,62.052315,350.58447,-5.7741065
370.0,60.426247,344.79803,-5.718239
371.0,58.902565,339.12253,-5.6552877
372.0,57.483475,333.51172,-5.58618
373.0,56.1466,327.92773,-5.511918
374.0,54.895947,322.51013,-5.4335585
375.0,53.72634,317.08545,-5.352223
376.0,52.616753,311.77502,-5.2690063
377.0,51.571686,306.52094,-5.1849327
378.0,50.591877,301.4497,-5.1008797
379.0,49.660835,296.3784,-5.01749
380.0,48.78242,291.3537,-4.935184
381.0,47.95174,286.5266,-4.8541217
382.0,47.165726,281.6828,-4.7742653
383.0,46.41964,276.9481,-4.6954474
384.0,45.711304,272.29883,-4.617401
385.0,45.03787,267.73224,-4.5398207
386.0,44.396027,263.2165,-4.4624057
387.0,43.787624,258.7993,-4.3848495
388.0,43.211273,254.45802,-4.3068633
389.0,42.656227,250.23189,-4.2281876
390.0,42.133213,246.0492,-4.1485963
391.0,41.639317,241.9458,-4.067933
392.0,41.16239,237.97543,-3.9861073
393.0,40.715168,233.95578,-3.903123
394.0,40.285694,230.14148,-3.8190808
395.0,39.882214,226.36868,-3.7341626
396.0,39.50304,222.65945,-3.6486397
397.0,39.147007,219.01633,-3.5628266
398.0,38.817184,215.5347,-3.4770827
399.0,38.50545,212.11505,-3.3917701
400.0,38.2273,208.72656,-3.3072493
401.0,37.980957,205.48004,-3.2238402
402.0,37.76014,202.3056,-3.1418042
403.0,37.5807,199.20267,-3.0613453
404.0,37.43457,196.19296,-2.9825585
405.0,37.337788,193.27328,-2.9054623
406.0,37.285748,190.38916,-2.8299341
407.0,37.284103,187.60655,-2.755742
408.0,37.3406,184.87567,-2.682503
409.0,37.45666,182.23651,-2.6097069
410.0,37.63409,179.68335,-2.5366852
411.0,37.886967,177.16006,-2.4626489
412.0,38.212196,174.74567,-2.386698
413.0,38.609005,172.43448,-2.3078432
414.0,39.086105,170.12323,-2.2250614
415.0,39.64182,167.95221,-2.1373372
416.0,40.282913,165.87206,-2.0437534
417.0,41.008347,163.87134,-1.9435337
418.0,41.812634,161.99783,-1.8361802
419.0,42.705173,160.22162,-1.7215123
420.0,43.682125,158.53397,-1.5997994
421.0,44.74336,157.00218,-1.4717827
422.0,45.894318,155.59798,-1.3387316
423.0,47.123566,154.33633,-1.202352
424.0,48.44153,153.2071,-1.0647048
425.0,49.83902,152.18661,-0.92792726
426.0,51.325607,151.33533,-0.79400456
427.0,52.88697,150.62271,-0.6643994
428.0,54.531067,149.99478,-0.5398327
429.0,56.24999,149.51193,-0.42008483
430.0,58.048943,149.15308,-0.3040558
431.0,59.91598,148.92282,-0.18989635
432.0,61.845444,148.76555,-0.07534993
433.0,63.84712,148.74655,0.04193294
434.0,65.91372,148.83643,0.16396534
435.0,68.037735,149.06021,0.29210013
436.0,70.21713,149.44096,0.4266693
437.0,72.43436,149.90192,0.56680506
438.0,74.705925,150.54208,0.710557
439.0,77.0121,151.34462,0.85520935
440.0,79.348785,152.24982,0.99799216
441.0,81.70444,153.31415,1.1366122
442.0,84.07151,154.51797,1.2696804
443.0,86.460266,155.87073,1.3966389
444.0,88.84015,157.32877,1.5175067
445.0,91.20354,158.9143,1.6324131
446.0,93.542816,160.58113,1.741274
447.0,95.853424,162.39835,1.8435855
448.0,98.13144,164.29529,1.9384724
449.0,100.34806,166.29567,2.0248141
450.0,102.47826,168.33635,2.1014924
451.0,104.56469,170.48515,2.1675406
452.0,106.551384,172.68869,2.222381
453.0,108.4447,174.95157,2.2660792
454.0,110.21126,177.22635,2.2997043
455.0,111.85893,179.54709,2.3254986
456.0,113.38513,181.89026,2.3465667
457.0,114.75099,184.24635,2.3659883
458.0,115.96808,186.64163,2.3856256
459.0,117.02272,189.04024,2.4051619
460.0,117.8754,191.45341,2.4218583
461.0,118.55467,193.86005,2.431118
462.0,119.04219,196.32327,2.4276226
463.0,119.30749,198.7306,2.4065533
464.0,119.36478,201.1155,2.3645158
465.0,119.201324,203.45953,2.2999187
466.0,118.81944,205.7064,2.2129316
467.0,118.2104,207.85551,2.1050687
468.0,117.383575,209.89886,1.9787459
469.0,116.35196,211.83249,1.8368044
470.0,115.08045,213.5805,1.6822236
471.0,113.60074,215.17993,1.5178554
472.0,111.94059,216.61986,1.3463544
473.0,110.083664,217.86809,1.1700777
474.0,108.07227,218.98059,0.99112916
475.0,105.90466,219.88779,0.81133556
476.0,103.59999,220.59995,0.63233197
477.0,101.18285,221.1199,0.45551944
478.0,98.68884,221.51175,0.28213716
479.0,96.11725,221.72054,0.11316967
480.0,93.50246,221.75217,-0.050599813
481.0,90.871155,221.6192,-0.20871615
482.0,88.21654,221.33026,-0.36102188
483.0,85.5681,220.8948,-0.50779927
484.0,82.9545,220.336,-0.6497879
485.0,80.37158,219.61281,-0.7882814
486.0,77.83179,218.7354,-0.9250807
487.0,75.34784,217.75552,-1.0622442
488.0,72.938126,216.63281,-1.2013988
489.0,70.596344,215.35641,-1.3425694
490.0,68.32741,213.89642,-1.4830185
491.0,66.147934,212.38228,-1.6167412
492.0,64.05282,210.71063,-1.7356392
493.0,62.031708,208.92366,-1.8320172
494.0,60.101814,207.03416,-1.9014932
495.0,58.260654,205.13184,-1.9449091
496.0,56.494602,203.16281,-1.9686083
497.0,54.810833,201.17798,-1.9828708
498.0,53.212242,199.18866,-1.9988033
499.0,51.693577,197.19623,-2.0247102
500.0,50.244255,195.15843,-2.0635605
501.0,48.869656,193.06133,-2.1128833
502.0,47.56359,190.90874,-2.1669037
503.0,46.32977,188.72333,-2.219255
504.0,45.158504,186.46909,-2.2649221
505.0,44.05273,184.1913,-2.3008263
506.0,43.00776,181.87997,-2.3256438
507.0,42.02596,179.56079,-2.3392124
508.0,41.097797,177.19812,-2.3420367
509.0,40.231876,174.86702,-2.334909
510.0,39.418247,172.54523,-2.3186681
511.0,38.66041,170.24329,-2.2940993
512.0,37.955574,167.96008,-2.2619133
513.0,37.304474,165.71666,-2.2228298
514.0,36.700867,163.52487,-2.177758
515.0,36.14963,161.34406,-2.1280131
516.0,35.644684,159.25987,-2.0754914
517.0,35.19264,157.1884,-2.0226083
518.0,34.784332,155.19812,-1.9720147
519.0,34.4258,153.23918,-1.9260597
520.0,34.110394,151.34238,-1.8862951
521.0,33.845345,149.46085,-1.8531613
522.0,33.630554,147.62323,-1.8260167
523.0,33.456696,145.81934,-1.8033912
524.0,33.32522,144.03372,-1.7833067
525.0,33.240425,142.2392,-1.7635274
526.0,33.196068,140.50784,-1.7416989
527.0,33.194817,138.76205,-1.7154355
528.0,33.23461,137.06375,-1.6825553
529.0,33.31294,135.40187,-1.6414418
530.0,33.430115,133.79344,-1.5914806
531.0,33.583374,132.23161,-1.5333333
532.0,33.777206,130.71875,-1.4688584
533.0,34.001915,129.28098,-1.4006534
534.0,34.26579,127.93783,-1.3314558
535.0,34.56236,126.63275,-1.2635388
536.0,34.89021,125.41737,-1.1984286
537.0,35.2509,124.247055,-1.1368268
538.0,35.64186,123.130165,-1.0787649
539.0,36.060074,122.080345,-1.0237532
540.0,36.509468,121.07811,-0.970999
541.0,36.989094,120.13536,-0.91956675
542.0,37.4936,119.24681,-0.8685037
543.0,38.025673,118.39569,-0.8169552
544.0,38.5813,117.59986,-0.7641671
545.0,39.163063,116.862885,-0.7094954
546.0,39.769974,116.17352,-0.65231466
547.0,40.39852,115.55836,-0.5920057
548.0,41.049843,114.984955,-0.52797556
549.0,41.725723,114.49109,-0.45989287
550.0,42.416523,114.055145,-0.388018
551.0,43.134388,113.71212,-0.31358242
552.0,43.864197,113.441055,-0.23889458
553.0,44.617397,113.215485,-0.16703457
554.0,45.385666,113.10397,-0.1010533
555.0,46.17075,113.0172,-0.043073177
556.0,46.970745,112.99628,0.0063194036
557.0,47.785404,113.018364,0.048143744
558.0,48.613693,113.0918,0.08465397
559.0,49.453552,113.17619,0.118765056
560.0,50.307194,113.33422,0.15349519
561.0,51.166553,113.49492,0.19138354
562.0,52.03586,113.71293,0.23401403
563.0,52.919895,113.96583,0.2816943
