t,Ip,Ii,ft
596.0,76.27571,142.4372,-15.194701
597.0,76.489265,143.55292,-15.225736
598.0,76.65619,144.66791,-15.246619
599.0,76.77789,145.7781,-15.257059
600.0,76.856606,146.89964,-15.256777
601.0,76.88458,147.9523,-15.24559
602.0,76.86896,149.00235,-15.223514
603.0,76.804276,149.9842,-15.190814
604.0,76.69829,150.93942,-15.14797
605.0,76.53765,151.79321,-15.09559
606.0,76.34203,152.60732,-15.034095
607.0,76.09508,153.33853,-14.963484
608.0,75.80617,154.02043,-14.883079
609.0,75.47027,154.63412,-14.7917795
610.0,75.08175,155.17084,-14.688982
611.0,74.66609,155.71106,-14.575823
612.0,74.202774,156.20273,-14.4553385
613.0,73.70947,156.68631,-14.330296
614.0,73.1723,157.15305,-14.200631
615.0,72.596664,157.58713,-14.063354
616.0,71.994064,158.00327,-13.915719
617.0,71.35536,158.36075,-13.758006
618.0,70.69492,158.67264,-13.593543
619.0,70.00003,158.88875,-13.426309
620.0,69.295044,159.06793,-13.258301
621.0,68.559555,159.17082,-13.088479
622.0,67.79702,159.18726,-12.913877
623.0,67.028564,159.15475,-12.732475
624.0,66.24327,159.06924,-12.545358
625.0,65.44978,158.95963,-12.356684
626.0,64.6466,158.7976,-12.17089
627.0,63.842987,158.63426,-11.9894495
628.0,63.023888,158.39153,-11.810255
629.0,62.208004,158.18521,-11.629754
630.0,61.392937,157.9396,-11.446352
631.0,60.587997,157.67935,-11.261166
632.0,59.786095,157.33606,-11.077353
633.0,58.986862,156.94354,-10.897942
634.0,58.20184,156.47775,-10.724373
635.0,57.426117,155.94073,-10.556332
636.0,56.66721,155.37273,-10.392544
637.0,55.92459,154.68896,-10.231772
638.0,55.19508,154.01639,-10.073392
639.0,54.483276,153.29083,-9.917721
640.0,53.78753,152.46408,-9.765915
641.0,53.11187,151.5994,-9.619788
642.0,52.464073,150.68297,-9.481347
643.0,51.840054,149.73553,-9.351822
644.0,51.2269,148.72018,-9.230598
645.0,50.63013,147.64333,-9.114389
646.0,50.07071,146.53415,-8.997477
647.0,49.537125,145.366,-8.873911
648.0,49.017418,144.21333,-8.742679
649.0,48.574883,143.1203,-8.6178
650.0,48.061283,142.12686,-8.539533
651.0,48.02219,141.15193,-8.568991
652.0,48.77548,140.38892,-8.753382
653.0,50.199303,139.81888,-9.09822
654.0,52.220882,139.44131,-9.582581
655.0,54.793774,139.34036,-10.186913
656.0,57.849358,139.47183,-10.901205
657.0,61.374626,139.81784,-11.720584
658.0,65.379166,140.43741,-12.641613
659.0,69.808624,141.26202,-13.660436
660.0,74.65941,142.3075,-14.772828
661.0,79.92766,143.57584,-15.974047
662.0,85.56201,145.11479,-17.259867
663.0,91.56105,146.93549,-18.626259
664.0,97.93332,149.06454,-20.069653
665.0,104.62143,151.50967,-21.585316
666.0,111.63219,154.33246,-23.167198
667.0,118.905014,157.56146,-24.807074
668.0,126.42913,161.18155,-26.494999
669.0,134.12491,165.22296,-28.219727
670.0,141.9605,169.70209,-29.968204
671.0,149.87659,174.57721,-31.726076
672.0,157.76907,179.86597,-33.476948
673.0,165.58331,185.4986,-35.202877
674.0,173.25652,191.53506,-36.88419
675.0,180.67001,197.8706,-38.501244
676.0,187.76672,204.49977,-40.03367
677.0,194.41162,211.37378,-41.461445
678.0,200.51678,218.4609,-42.7639
679.0,206.03366,225.74248,-43.919594
680.0,210.81902,233.15814,-44.9061
681.0,214.79274,240.63931,-45.70189
682.0,217.88466,248.12608,-46.288113
683.0,220.04523,255.63309,-46.650665
684.0,221.16501,262.99316,-46.780354
685.0,221.25763,270.20883,-46.671997
686.0,220.32733,277.21423,-46.324627
687.0,218.32217,283.91742,-45.742958
688.0,215.37628,290.31668,-44.93862
689.0,211.4953,296.2574,-43.929928
690.0,206.82733,301.82196,-42.74083
691.0,201.46606,306.8272,-41.398567
692.0,195.51648,311.41934,-39.93169
